Name,ISO3,ISO2,CRS
Mauritania,MRT,MR,EPSG:3345
Senegal,SEN,SN,EPSG:31028
Gambia,GMB,GM,EPSG:31028
Guinea-Bissau,GNB,GW,EPSG:2095
Guinea,GIN,GN,EPSG:31528
Sierra Leone,SLE,SL,EPSG:31528
Liberia,LBR,LR,EPSG:32629
Cote d'Ivoire,CIV,CI,EPSG:2041
Ghana,GHA,GH,EPSG:25000
Togo,TGO,TG,EPSG:25231
Benin,BEN,BJ,EPSG:25231
Nigeria,NGA,NG,EPSG:26392
Cameroon,CMR,CM,EPSG:2215
Equatorial Guinea,GNQ,GQ,EPSG:5523
Gabon,GAB,GA,EPSG:5523
Congo (Republic of the),COG,CG,EPSG:5523
Congo (Democratic Republic of the),COD,CD,EPSG:5523
Angola,AGO,AO,EPSG:9159
Kenya,KEN,KE,EPSG:21097
Tanzania,TZA,TZ,EPSG:21097
Somalia,SOM,SO,EPSG:20539
Eritrea,ERI,ER,EPSG:20138
Djibouti,DJI,DJ,EPSG:20138
Mozambique,MOZ,MZ,EPSG:5629
South Africa,ZAF,ZA,EPSG:2054
Madagascar,MDG,MG,EPSG:8441
Sudan,SDN,SD,EPSG:20138
